Time,Level,Host,Service,Log,CompleteLog
2025-01-20T16:08:27.600Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.600Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.601Z,In(05),host-2377,,In(05) host-2377 Adding service vlcm.,2025-01-20T16:08:27.601Z In(05) host-2377 Adding service vlcm.
2025-01-20T16:08:27.601Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.601Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.604Z,In(05),host-2377,,In(05) host-2377 Adding service eam.,2025-01-20T16:08:27.604Z In(05) host-2377 Adding service eam.
2025-01-20T16:08:27.604Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.604Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.606Z,In(05),host-2377,,In(05) host-2377 Adding service rhttpproxy.,2025-01-20T16:08:27.606Z In(05) host-2377 Adding service rhttpproxy.
2025-01-20T16:08:27.606Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.606Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.607Z,In(05),host-2377,,In(05) host-2377 Adding service envoy.,2025-01-20T16:08:27.607Z In(05) host-2377 Adding service envoy.
2025-01-20T16:08:27.607Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.607Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.608Z,In(05),host-2377,,In(05) host-2377 Adding service certificatemanagement.,2025-01-20T16:08:27.608Z In(05) host-2377 Adding service certificatemanagement.
2025-01-20T16:08:27.608Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.608Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.609Z,In(05),host-2377,,In(05) host-2377 Adding service vpxd-svcs.,2025-01-20T16:08:27.609Z In(05) host-2377 Adding service vpxd-svcs.
2025-01-20T16:08:27.609Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.609Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.611Z,In(05),host-2377,,In(05) host-2377 Adding service content-library.,2025-01-20T16:08:27.611Z In(05) host-2377 Adding service content-library.
2025-01-20T16:08:27.611Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.611Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.615Z,In(05),host-2377,,In(05) host-2377 Adding service vc-ws1a-broker.,2025-01-20T16:08:27.615Z In(05) host-2377 Adding service vc-ws1a-broker.
2025-01-20T16:08:27.615Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.615Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.616Z,In(05),host-2377,,In(05) host-2377 Adding service vsm.,2025-01-20T16:08:27.616Z In(05) host-2377 Adding service vsm.
2025-01-20T16:08:27.616Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.616Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.618Z,In(05),host-2377,,In(05) host-2377 Adding service vmonapi.,2025-01-20T16:08:27.618Z In(05) host-2377 Adding service vmonapi.
2025-01-20T16:08:27.618Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.618Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.620Z,In(05),host-2377,,In(05) host-2377 Adding service envoy-hgw.,2025-01-20T16:08:27.620Z In(05) host-2377 Adding service envoy-hgw.
2025-01-20T16:08:27.620Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.620Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.621Z,In(05),host-2377,,In(05) host-2377 Adding service sts.,2025-01-20T16:08:27.621Z In(05) host-2377 Adding service sts.
2025-01-20T16:08:27.621Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.621Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.626Z,In(05),host-2377,,In(05) host-2377 Adding service analytics.,2025-01-20T16:08:27.626Z In(05) host-2377 Adding service analytics.
2025-01-20T16:08:27.626Z,Er(02),host-2377,,Er(02) host-2377 Dependent service vmafdd of service analytics not found!,2025-01-20T16:08:27.626Z Er(02) host-2377 Dependent service vmafdd of service analytics not found!
2025-01-20T16:08:27.626Z,Er(02),host-2377,,Er(02) host-2377 Dependent service statsmonitor of service applmgmt not found!,2025-01-20T16:08:27.626Z Er(02) host-2377 Dependent service statsmonitor of service applmgmt not found!
2025-01-20T16:08:27.626Z,Er(02),host-2377,,Er(02) host-2377 Startup type of service hvc is AUTOMATIC while startup type of dependent service vmonapi is MANUAL.,2025-01-20T16:08:27.626Z Er(02) host-2377 Startup type of service hvc is AUTOMATIC while startup type of dependent service vmonapi is MANUAL.
2025-01-20T16:08:27.626Z,Er(02),host-2377,,Er(02) host-2377 Dependent service vmafdd of service rhttpproxy not found!,2025-01-20T16:08:27.626Z Er(02) host-2377 Dependent service vmafdd of service rhttpproxy not found!
2025-01-20T16:08:27.626Z,Er(02),host-2377,,Er(02) host-2377 Dependent service vmware-vmon of service vc-ws1a-broker not found!,2025-01-20T16:08:27.626Z Er(02) host-2377 Dependent service vmware-vmon of service vc-ws1a-broker not found!
2025-01-20T16:08:27.626Z,Er(02),host-2377,,Er(02) host-2377 Dependent service vmafdd of service vsan-health not found!,2025-01-20T16:08:27.626Z Er(02) host-2377 Dependent service vmafdd of service vsan-health not found!
2025-01-20T16:08:27.627Z,In(05),host-2377,,In(05) host-2377 Starting vMon with profile 'ALL',2025-01-20T16:08:27.627Z In(05) host-2377 Starting vMon with profile 'ALL'
2025-01-20T16:08:27.627Z,In(05),host-2377,,"In(05) host-2377 Executing service batch op START. IgnoreFail=0, service count=42","2025-01-20T16:08:27.627Z In(05) host-2377 Executing service batch op START. IgnoreFail=0, service count=42"
2025-01-20T16:08:27.627Z,In(05),host-2377,envoy,Constructed command: /usr/sbin/envoy,2025-01-20T16:08:27.627Z In(05) host-2377 <envoy> Constructed command: /usr/sbin/envoy
2025-01-20T16:08:27.628Z,In(05),host-2377,rhttpproxy-prestart,Constructed command: /usr/lib/vmware-rhttpproxy/prestart-rhttpproxy.sh,2025-01-20T16:08:27.628Z In(05) host-2377 <rhttpproxy-prestart> Constructed command: /usr/lib/vmware-rhttpproxy/prestart-rhttpproxy.sh
2025-01-20T16:08:27.628Z,In(05),host-2377,eam-prestart,Constructed command: /usr/bin/python -B /usr/lib/vmware-eam/watchdog/vmon/sequenceExecutor.py NO_OP /usr/bin/python 2 -B /usr/lib/vmware-eam/watchdog/update_ownership.py /usr/bin/python 2 -B /usr/lib/vmware-eam/watchdog/update_pnid.py /usr/bin/python 2 -B /usr/lib/vmware-eam/watchdog/update_feature_states.py /usr/bin/python 2 -B /usr/lib/vmware-eam/watchdog/adjust_tomcat_logging.py /usr/bin/python 2 -B /usr/lib/vmware-eam/watchdog/rotate_jvm_logs.py,2025-01-20T16:08:27.628Z In(05) host-2377 <eam-prestart> Constructed command: /usr/bin/python -B /usr/lib/vmware-eam/watchdog/vmon/sequenceExecutor.py NO_OP /usr/bin/python 2 -B /usr/lib/vmware-eam/watchdog/update_ownership.py /usr/bin/python 2 -B /usr/lib/vmware-eam/watchdog/update_pnid.py /usr/bin/python 2 -B /usr/lib/vmware-eam/watchdog/update_feature_states.py /usr/bin/python 2 -B /usr/lib/vmware-eam/watchdog/adjust_tomcat_logging.py /usr/bin/python 2 -B /usr/lib/vmware-eam/watchdog/rotate_jvm_logs.py
2025-01-20T16:08:27.629Z,In(05),host-2377,vmware-vpostgres-prestart,Constructed command: /opt/vmware/vpostgres/current/scripts/pg_pre_start,2025-01-20T16:08:27.629Z In(05) host-2377 <vmware-vpostgres-prestart> Constructed command: /opt/vmware/vpostgres/current/scripts/pg_pre_start
2025-01-20T16:08:27.629Z,In(05),host-2377,envoy-sidecar,Constructed command: /usr/sbin/envoy-sidecar,2025-01-20T16:08:27.629Z In(05) host-2377 <envoy-sidecar> Constructed command: /usr/sbin/envoy-sidecar
2025-01-20T16:08:27.629Z,In(05),host-2377,envoy-hgw,Constructed command: /usr/sbin/envoy-hgw,2025-01-20T16:08:27.629Z In(05) host-2377 <envoy-hgw> Constructed command: /usr/sbin/envoy-hgw
2025-01-20T16:08:27.642Z,Wa(03),host-2377,vmware-vpostgres,Service pre-start command's stderr: Issuing signal KILL on all PostgreSQL processes owned by OS user vpostgres,2025-01-20T16:08:27.642Z Wa(03) host-2377 <vmware-vpostgres> Service pre-start command's stderr: Issuing signal KILL on all PostgreSQL processes owned by OS user vpostgres
2025-01-20T16:08:27.642Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:08:27.642Z Wa(03)+ host-2377
2025-01-20T16:08:27.768Z,Wa(03),host-2377,vmware-vpostgres,Service pre-start command's stderr: Generating /storage/db/vpostgres_ssl/root_ca.pem using store TRUSTED_ROOTS,2025-01-20T16:08:27.768Z Wa(03) host-2377 <vmware-vpostgres> Service pre-start command's stderr: Generating /storage/db/vpostgres_ssl/root_ca.pem using store TRUSTED_ROOTS
2025-01-20T16:08:27.768Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:08:27.768Z Wa(03)+ host-2377
2025-01-20T16:08:27.768Z,Wa(03),host-2377,vmware-vpostgres,"Service pre-start command's stderr: Grabbing alias list for store TRUSTED_ROOTS, attempt 1","2025-01-20T16:08:27.768Z Wa(03) host-2377 <vmware-vpostgres> Service pre-start command's stderr: Grabbing alias list for store TRUSTED_ROOTS, attempt 1"
2025-01-20T16:08:27.768Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:08:27.768Z Wa(03)+ host-2377
2025-01-20T16:08:27.780Z,Wa(03),host-2377,vmware-vpostgres,"Service pre-start command's stderr: Using alias 9adc1ef5b57563938e689be8b9d92e8cbbbb8367 to fetch data from store TRUSTED_ROOTS, attempt 1","2025-01-20T16:08:27.780Z Wa(03) host-2377 <vmware-vpostgres> Service pre-start command's stderr: Using alias 9adc1ef5b57563938e689be8b9d92e8cbbbb8367 to fetch data from store TRUSTED_ROOTS, attempt 1"
2025-01-20T16:08:27.780Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:08:27.780Z Wa(03)+ host-2377
2025-01-20T16:08:27.797Z,Wa(03),host-2377,vmware-vpostgres,"Service pre-start command's stderr: Using alias e0d00ed454d3542072718fe24a3f76ba5eb2eb05 to fetch data from store TRUSTED_ROOTS, attempt 1","2025-01-20T16:08:27.797Z Wa(03) host-2377 <vmware-vpostgres> Service pre-start command's stderr: Using alias e0d00ed454d3542072718fe24a3f76ba5eb2eb05 to fetch data from store TRUSTED_ROOTS, attempt 1"
2025-01-20T16:08:27.797Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:08:27.797Z Wa(03)+ host-2377
2025-01-20T16:08:27.806Z,Wa(03),host-2377,vmware-vpostgres,"Service pre-start command's stderr: Using alias eb56e64dfbc1a6fda8e9f125d000b028a2bd74b6 to fetch data from store TRUSTED_ROOTS, attempt 1","2025-01-20T16:08:27.806Z Wa(03) host-2377 <vmware-vpostgres> Service pre-start command's stderr: Using alias eb56e64dfbc1a6fda8e9f125d000b028a2bd74b6 to fetch data from store TRUSTED_ROOTS, attempt 1"
2025-01-20T16:08:27.806Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:08:27.806Z Wa(03)+ host-2377
2025-01-20T16:08:27.817Z,Wa(03),host-2377,vmware-vpostgres,"Service pre-start command's stderr: Using alias 13e0bd96b6e374d17c9f90dd56f22cc7a8ae722a to fetch data from store TRUSTED_ROOTS, attempt 1","2025-01-20T16:08:27.817Z Wa(03) host-2377 <vmware-vpostgres> Service pre-start command's stderr: Using alias 13e0bd96b6e374d17c9f90dd56f22cc7a8ae722a to fetch data from store TRUSTED_ROOTS, attempt 1"
2025-01-20T16:08:27.817Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:08:27.817Z Wa(03)+ host-2377
2025-01-20T16:08:27.831Z,Wa(03),host-2377,vmware-vpostgres,"Service pre-start command's stderr: Using alias 39a47e07501e42423f4a548da78b7a32674ffbec to fetch data from store TRUSTED_ROOTS, attempt 1","2025-01-20T16:08:27.831Z Wa(03) host-2377 <vmware-vpostgres> Service pre-start command's stderr: Using alias 39a47e07501e42423f4a548da78b7a32674ffbec to fetch data from store TRUSTED_ROOTS, attempt 1"
2025-01-20T16:08:27.831Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:08:27.831Z Wa(03)+ host-2377
2025-01-20T16:08:27.837Z,Wa(03),host-2377,rhttpproxy,"Service pre-start command's stderr: /usr/lib/tmpfiles.d/envoy.conf:14: Line references path below legacy directory /var/run/, updating /var/run/envoy → /run/envoy; please update the tmpfiles.d/ drop-in file accordingly.","2025-01-20T16:08:27.837Z Wa(03) host-2377 <rhttpproxy> Service pre-start command's stderr: /usr/lib/tmpfiles.d/envoy.conf:14: Line references path below legacy directory /var/run/, updating /var/run/envoy → /run/envoy; please update the tmpfiles.d/ drop-in file accordingly."
2025-01-20T16:08:27.837Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:08:27.837Z Wa(03)+ host-2377
2025-01-20T16:08:27.841Z,Wa(03),host-2377,rhttpproxy,"Service pre-start command's stderr: /usr/lib/tmpfiles.d/envoy-sidecar.conf:14: Line references path below legacy directory /var/run/, updating /var/run/envoy-sidecar → /run/envoy-sidecar; please update the tmpfiles.d/ drop-in file accordingly.","2025-01-20T16:08:27.841Z Wa(03) host-2377 <rhttpproxy> Service pre-start command's stderr: /usr/lib/tmpfiles.d/envoy-sidecar.conf:14: Line references path below legacy directory /var/run/, updating /var/run/envoy-sidecar → /run/envoy-sidecar; please update the tmpfiles.d/ drop-in file accordingly."
2025-01-20T16:08:27.841Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:08:27.841Z Wa(03)+ host-2377
2025-01-20T16:08:27.845Z,Wa(03),host-2377,vmware-vpostgres,Service pre-start command's stderr: Copying /storage/db/vpostgres_ssl/root_ca.pem.tmp to /storage/db/vpostgres_ssl/root_ca.pem,2025-01-20T16:08:27.845Z Wa(03) host-2377 <vmware-vpostgres> Service pre-start command's stderr: Copying /storage/db/vpostgres_ssl/root_ca.pem.tmp to /storage/db/vpostgres_ssl/root_ca.pem
2025-01-20T16:08:27.845Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:08:27.845Z Wa(03)+ host-2377
